Ws_avg,Ws_min,Ws_max,Ws_std,Wa_avg,Wa_min,Wa_max,Wa_std,P_avg,Ot_avg,Ot_min,Ot_max,Ot_std
8.3800001,5.1599998,11.67,1.15,180.19,97.129997,227.67999,10.69,897.75,5.5999999,5.5,5.8000002,0.039999999
9.3999996,5.6900001,13.85,1.62,299.42001,264.75,334.10999,10.13,1289.92,6.1100001,5.9000001,6.1999998,0.050000001
8.8599997,5.7800002,12.92,1.33,177.5,135.44,208.25,9.6199999,1083.74,5.46,5.3000002,5.5999999,0.090000004
8.3699999,5.7199998,11.53,1.11,172.99001,145.8,205.89,9.7399998,1009.9,6.1199999,6.0,6.3000002,0.090000004
8.5100002,5.4099998,12.24,1.37,183.25,150.67,216.92,10.44,1010.82,5.8899999,5.6999998,6.0500002,0.1
9.04,5.75,13.09,1.3,176.41,145.39999,206.17999,10.19,1109.78,5.1799998,5.0,5.4000001,0.1
8.8999996,5.75,13.13,1.26,173.44,146.47,205.8,9.9799995,1157.52,5.9099998,5.6999998,6.0,0.07
9.9099998,5.3099999,13.27,1.45,183.71001,159.44,228.53999,9.5600004,1341.65,5.6399999,5.5,5.75,0.090000004
9.2600002,5.48,13.35,1.55,298.42001,259.59,331.63,10.66,1228.37,5.79,5.5999999,6.0999999,0.13
10.71,6.8099999,14.11,1.36,299.17001,274.48001,326.60001,9.5600004,1591.34,5.6300001,5.4000001,5.8000002,0.1
9.8599997,6.8099999,13.95,1.45,173.96001,146.25999,203.00999,9.1999998,1336.26,5.7399998,5.6500001,5.9000001,0.07
9.9099998,6.4400001,13.37,1.4,184.07001,152.48,227.31,9.54,1394.75,5.3899999,5.3000002,5.5,0.090000004
9.4799995,5.4200001,12.37,1.22,176.23,145.37,202.62,9.6899996,1217.55,4.9699998,4.9000001,5.0999999,0.039999999
9.7399998,6.5,13.71,1.42,172.87,134.46001,204.63,9.8800001,1348.03,5.5900002,5.4000001,5.6999998,0.07
9.1899996,4.98,14.3,1.66,297.54001,268.57001,104.3,14.09,1154.8199,5.48,5.3499999,5.8000002,0.12
9.4399996,6.1199999,13.07,1.41,183.71001,157.07001,215.73,9.9899998,1222.88,5.2399998,5.1999998,5.3000002,0.039999999
9.8999996,6.3000002,13.47,1.28,175.42999,148.53999,205.3,9.3999996,1363.6899,4.9000001,4.8000002,5.0,0.02
9.9300003,7.0599999,13.43,1.24,167.78999,140.39,196.19,8.8400002,1405.89,5.4499998,5.4000001,5.5999999,0.079999998
10.61,6.25,13.55,1.38,171.86,146.42,208.32001,8.6800003,1532.7,5.1700001,5.0,5.1999998,0.059999999
9.3999996,5.7199998,13.02,1.47,171.17999,139.25999,207.94,10.07,1272.03,4.8499999,4.6999998,4.9000001,0.07
10.58,5.8299999,14.55,1.65,274.60999,264.73001,328.31,8.9099998,1493.85,5.3899999,5.3000002,5.4000001,0.02
9.8299999,6.04,14.59,1.4400001,168.98,140.8,200.56,10.33,1387.51,4.7600002,4.5999999,4.9000001,0.079999998
9.9799995,6.0100002,13.46,1.4299999,167.06,139.09,195.63,9.1099997,1419.1801,5.3600001,5.3000002,5.4000001,0.039999999
10.62,6.1399999,14.86,1.59,296.47,264.07001,324.85001,9.6000004,1504.52,5.23,5.0999999,5.4000001,0.090000004
9.8800001,6.1199999,14.07,1.46,179.99001,141.71001,212.46001,9.8100004,1358.9399,5.04,4.9499998,5.1999998,0.079999998
10.16,6.0900002,13.95,1.41,166.49001,144.3,198.91,8.4799995,1428.58,5.3499999,5.3000002,5.4000001,0.039999999
10.09,6.4899998,14.72,1.6,179.3,144.34,209.82001,10.28,1372.02,5.0599999,5.0,5.1999998,0.079999998
10.84,7.3699999,15.48,1.48,290.89999,264.07001,318.20001,9.2399998,1611.78,5.2399998,5.0999999,5.4000001,0.090000004
10.8,6.9200001,14.64,1.49,170.2,145.98,199.86,9.1599998,1618.4399,4.6999998,4.5999999,4.8000002,0.0099999998
10.08,6.1199999,14.62,1.4400001,180.33,152.07001,276.89001,10.4,1360.61,5.0100002,5.0,5.1999998,0.039999999
9.96,6.23,13.8,1.5599999,290.91,258.14001,316.19,9.8500004,1392.64,5.2600002,5.0999999,5.3499999,0.07
9.6400003,5.6500001,13.91,1.45,167.56,142.60001,199.59,9.0600004,1355.05,5.3400002,5.3000002,5.4000001,0.039999999
9.7700005,6.1300001,13.84,1.46,171.19,142.38,201.88,10.72,1293.72,4.5999999,4.5,4.6999998,0.090000004
9.3999996,5.9200001,14.09,1.95,169.47,145.28,204.14,10.48,1247.27,4.4899998,4.4000001,4.5,0.02
9.6700001,6.3699999,12.73,1.28,167.48,141.22,205.73,10.17,1320.6,5.2800002,5.0999999,5.3000002,0.050000001
9.9099998,6.3099999,13.34,1.4,291.45999,258.70999,319.37,10.68,1375.74,5.2399998,5.0999999,5.3000002,0.079999998
9.5,6.1399999,13.61,1.49,178.02,139.84,214.92999,10.58,1235.14,4.9499998,4.9000001,5.0,0.039999999
10.21,5.6799998,14.84,1.65,289.32999,261.82001,320.26999,10.4,1484.01,5.1300001,5.0500002,5.3000002,0.059999999
10.11,6.21,13.69,1.67,165.60001,139.69,199.66,9.8900003,1397.86,5.29,5.0999999,5.4000001,0.050000001
9.6999998,6.25,13.48,1.15,178.7,149.58,207.33,10.8,1303.85,4.9499998,4.9000001,5.0,0.039999999
9.6099997,5.2600002,14.72,1.75,167.08,130.07001,199.8,10.67,1280.71,4.4899998,4.4000001,4.5,0.029999999
9.6700001,5.4899998,14.14,1.5,290.19,254.10001,321.97,11.43,1307.29,5.1100001,5.0999999,5.3000002,0.029999999
10.83,7.3200002,14.05,1.24,167.82001,142.39999,197.42,8.4300003,1644.3,5.3200002,5.3000002,5.4000001,0.029999999
10.23,6.48,15.14,1.84,176.16,134.39999,200.34,9.9200001,1384.54,4.54,4.5,4.6999998,0.07
10.32,7.02,14.4,1.39,178.45,136.55,204.14999,9.4799995,1509.38,4.9899998,4.9000001,5.0999999,0.029999999
11.02,7.23,15.75,1.51,177.46001,142.42,201.74001,9.1000004,1632.5601,4.9899998,4.9000001,5.0999999,0.029999999
10.98,7.7399998,14.5,1.2,165.45,146.75999,197.31,8.1300001,1694.58,5.29,5.0999999,5.3499999,0.039999999
10.38,6.6300001,14.57,1.53,289.60001,259.22,316.48999,9.4099998,1535.17,5.1100001,5.0500002,5.3000002,0.029999999
10.13,5.6900001,14.05,1.7000000000000002,167.00999,133.32001,199.74001,10.22,1451.38,4.5300002,4.5,4.6999998,0.050000001
11.11,6.48,15.56,1.58,166.52,137.67,215.11,8.9700003,1653.9,4.48,4.4000001,4.5,0.039999999
9.8699999,5.9499998,14.79,1.86,289.62,253.2,316.32999,10.82,1382.74,5.0900002,5.0,5.0999999,0.02
10.57,7.1900001,14.65,1.37,164.94,138.91,203.35001,9.7200003,1515.72,5.2399998,5.0999999,5.3000002,0.079999998
11.56,7.1700001,15.32,1.33,175.23,147.12,201.74001,8.6800003,1771.55,4.9299998,4.9000001,5.0,0.039999999
10.52,7.0700002,14.19,1.48,167.25,135.42999,200.57001,9.9200001,1526.29,4.4400001,4.4000001,4.5,0.039999999
11.02,7.4400001,15.31,1.4400001,178.06,150.82001,208.77,9.3299999,1707.48,4.9400001,4.9000001,5.0,0.050000001
9.0600004,5.8899999,12.8,1.46,289.87,254.36,323.32001,11.3,1169.6,5.0900002,5.0,5.1999998,0.02
11.14,7.4200001,14.68,1.58,166.03,118.31,200.34,9.21,1706.6801,5.29,5.0999999,5.3000002,0.029999999
9.8500004,5.8200002,13.27,1.42,168.97,106.0,211.48,11.06,1337.8,4.4099998,4.4000001,4.5,0.02
10.18,5.8299999,13.86,1.59,290.29999,256.26999,319.29999,9.9499998,1463.4301,5.0999999,5.0999999,5.1999998,0.02
10.68,6.6799998,14.63,1.36,160.67,132.83,225.14999,9.8199997,1572.83,4.9699998,4.5999999,5.3000002,0.19
10.75,6.2399998,15.9,1.7000000000000002,178.66,149.06,203.97,8.96,1560.33,4.9000001,4.9000001,4.9499998,0.0099999998
10.44,6.1900001,14.99,1.78,167.64999,129.22,215.13,10.65,1525.9,4.8000002,4.6999998,4.8000002,0.0099999998
10.06,4.77,16.4,1.92,168.17999,114.41,200.21001,11.25,1429.99,4.4000001,4.3000002,4.4000001,0.0099999998
9.8299999,5.8000002,14.61,1.53,288.12,256.70001,25.780001,11.06,1373.08,5.0999999,5.0500002,5.1999998,0.0099999998
11.87,8.1499996,16.67,1.51,176.5,144.09,199.37,8.7399998,1860.91,4.9000001,4.8000002,4.9000001,0.02
11.59,7.0500002,15.93,1.61,176.77,149.14,202.92999,8.54,1753.02,4.9000001,4.8000002,4.9000001,0.02
10.48,5.8899999,14.72,1.78,166.86,132.77,197.64,10.32,1522.26,4.3600001,4.1999998,4.4000001,0.059999999
10.77,6.3400002,15.64,1.59,164.2,139.86,198.5,9.8500004,1587.88,4.8000002,4.5999999,4.8000002,0.02
10.05,5.6999998,15.57,1.86,287.44,253.59,321.76001,11.57,1386.6899,5.0500002,5.0,5.0999999,0.050000001
10.14,6.1199999,13.81,1.63,166.32001,134.72,202.96001,10.32,1484.52,4.7199998,4.5999999,4.8000002,0.079999998
10.8,6.1999998,15.29,1.73,290.26999,248.37,332.37,11.16,1580.35,4.8099999,4.6999998,5.0999999,0.14
